Nome Parlamentar	Partido	UF	Titular/Suplente/Efetivado	Endereço	Anexo	Endereço (continuação)	Gabinete	Endereço (complemento)	Telefone	Fax	Mês Aniversário	Dia Aniversário	Correio Eletrônico	Nome sem Acento	Tratamento	Profissões	Nome Civil
FERNANDO FRANCISCHINI	SD	PR	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	265	Brasília - DF - CEP 70160-900	3215-5265	3215-2265	03	26	dep.fernandofrancischini@camara.leg.br	FERNANDO FRANCISCHINI	Exmo. Senhor Deputado	Delegado de Polícia Federal	FERNANDO DESTITO FRANCISCHINI
FERNANDO JORDÃO	PMDB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	626	Brasília - DF - CEP 70160-900	3215-5626	3215-2626	06	23	dep.fernandojordao@camara.leg.br	FERNANDO JORDAO	Exmo. Senhor Deputado		FERNANDO ANTÔNIO CECILIANO JORDÃO
FERNANDO MONTEIRO	PP	PE	S	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	282	Brasília - DF - CEP 70160-900	3215-5282	3215-2282	09	17	dep.fernandomonteiro@camara.leg.br	FERNANDO MONTEIRO	Exmo. Senhor Deputado		FERNANDO MONTEIRO DE ALBUQUERQUE
FERNANDO TORRES	PSD	BA	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	642	Brasília - DF - CEP 70160-900	3215-5642	3215-2642	12	28	dep.fernandotorres@camara.leg.br	FERNANDO TORRES	Exmo. Senhor Deputado	Empresário	FERNANDO DANTAS TORRES
FLÁVIA MORAIS	PDT	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	738	Brasília - DF - CEP 70160-900	3215-5738	3215-2738	04	26	dep.flaviamorais@camara.leg.br	FLAVIA MORAIS	Exma. Senhora Deputada	Professora de Educação Física	FLÁVIA CARREIRO ALBUQUERQUE MORAIS
FLAVIANO MELO	PMDB	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	224	Brasília - DF - CEP 70160-900	3215-5224	3215-2224	11	17	dep.flavianomelo@camara.leg.br	FLAVIANO MELO	Exmo. Senhor Deputado	Engenheiro Civil	FLAVIANO FLÁVIO BAPTISTA DE MELO
FLAVINHO	PSB	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	379	Brasília - DF - CEP 70160-900	3215-5379	3215-2379	11	13	dep.flavinho@camara.leg.br	FLAVINHO	Exmo. Senhor Deputado	Apresentador de Televisão,cantor,compositor,empresário,escritor,locutor	FLAVIO AUGUSTO DA SILVA
FLAVIO NOGUEIRA	PDT	PI	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	811	Brasília - DF - CEP 70160-900	3215-5811	3215-2811	02	27	dep.flavionogueira@camara.leg.br	FLAVIO NOGUEIRA	Exmo. Senhor Deputado		FLAVIO RODRIGUES NOGUEIRA
FRANCISCO CHAPADINHA	PSD	PA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	385	Brasília - DF - CEP 70160-900	3215-5385	3215-2385	08	24	dep.franciscochapadinha@camara.leg.br	FRANCISCO CHAPADINHA	Exmo. Senhor Deputado	Empresário	FRANCISCO ALVES DE AGUIAR
FRANCISCO FLORIANO	PR	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	719	Brasília - DF - CEP 70160-900	3215-5719	3215-2719	09	21	dep.franciscofloriano@camara.leg.br	FRANCISCO FLORIANO	Exmo. Senhor Deputado	Apresentador de Televisão, Locutor, Publicitário, Representante Comercial	FRANCISCO FLORIANO DE SOUSA SILVA
GABRIEL GUIMARÃES	PT	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	821	Brasília - DF - CEP 70160-900	3215-5821	3215-2821	06	06	dep.gabrielguimaraes@camara.leg.br	GABRIEL GUIMARAES	Exmo. Senhor Deputado	Advogado	GABRIEL GUIMARÃES DE ANDRADE
GENECIAS NORONHA	SD	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	244	Brasília - DF - CEP 70160-900	3215-5244	3215-2244	03	13	dep.geneciasnoronha@camara.leg.br	GENECIAS NORONHA	Exmo. Senhor Deputado	Empresário	GENECIAS MATEUS NORONHA
GEOVANIA DE SÁ	PSDB	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	606	Brasília - DF - CEP 70160-900	3215-5606	3215-2606	03	30	dep.geovaniadesa@camara.leg.br	GEOVANIA DE SA	Exma. Senhora Deputada	Administradora de Empresas	GEOVANIA DE SA RODRIGUES
GERALDO RESENDE	PMDB	MS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	905	Brasília - DF - CEP 70160-900	3215-5905	3215-2905	04	20	dep.geraldoresende@camara.leg.br	GERALDO RESENDE	Exmo. Senhor Deputado	Medico	GERALDO RESENDE PEREIRA
GIACOBO	PR	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	762	Brasília - DF - CEP 70160-900	3215-5762	3215-2762	12	17	dep.giacobo@camara.leg.br	GIACOBO	Exmo. Senhor Deputado	Empresário	FERNANDO LÚCIO GIACOBO
GILBERTO NASCIMENTO	PSC	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	834	Brasília - DF - CEP 70160-900	3215-5834	3215-2834	07	09	dep.gilbertonascimento@camara.leg.br	GILBERTO NASCIMENTO	Exmo. Senhor Deputado	Advogado e Delegado de Polícia	GILBERTO NASCIMENTO SILVA
GIOVANI CHERINI	PDT	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	468	Brasília - DF - CEP 70160-900	3215-5468	32152468	06	23	dep.giovanicherini@camara.leg.br	GIOVANI CHERINI	Exmo. Senhor Deputado	Tecnólogo Em Cooperativismo	GIOVANI CHERINI
GIUSEPPE VECCI	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	383	Brasília - DF - CEP 70160-900	3215-5383	3215-2383	01	14	dep.giuseppevecci@camara.leg.br	GIUSEPPE VECCI	Exmo. Senhor Deputado	Economista	GIUSEPPE VECCI
GIVALDO CARIMBÃO	PROS	AL	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	732	Brasília - DF - CEP 70160-900	3215-5732	3215-2732	10	14	dep.givaldocarimbao@camara.leg.br	GIVALDO CARIMBAO	Exmo. Senhor Deputado	Comerciante e Gráfico	GIVALDO DE SÁ GOUVEIA
GIVALDO VIEIRA	PT	ES	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	805	Brasília - DF - CEP 70160-900	3215-5805	3215-2805	10	28	dep.givaldovieira@camara.leg.br	GIVALDO VIEIRA	Exmo. Senhor Deputado	Advogado(a)	GIVALDO VIEIRA DA SILVA
GLAUBER BRAGA	PSOL	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	362	Brasília - DF - CEP 70160-900	3215-5362	3215-2362	06	26	dep.glauberbraga@camara.leg.br	GLAUBER BRAGA	Exmo. Senhor Deputado	Bacharel Em Direito	GLAUBER DE MEDEIROS BRAGA
GONZAGA PATRIOTA	PSB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	430	Brasília - DF - CEP 70160-900	3215-5430	3215-2430	04	26	dep.gonzagapatriota@camara.leg.br	GONZAGA PATRIOTA	Exmo. Senhor Deputado	Advogado, Contador , Administrador de Empresas e Jornalista.	LUIZ GONZAGA PATRIOTA
GORETE PEREIRA	PR	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	206	Brasília - DF - CEP 70160-900	3215-5206	3215-2206	04	10	dep.goretepereira@camara.leg.br	GORETE PEREIRA	Exma. Senhora Deputada	Fisioterapeuta	MARIA GORETE PEREIRA
GOULART	PSD	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	533	Brasília - DF - CEP 70160-900	3215-5533	3215-2533	12	23	dep.goulart@camara.leg.br	GOULART	Exmo. Senhor Deputado	Empresário	ANTONIO GOULART DOS REIS
GUILHERME MUSSI	PP	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	712	Brasília - DF - CEP 70160-900	3215-5712	3215-2712	10	14	dep.guilhermemussi@camara.leg.br	GUILHERME MUSSI	Exmo. Senhor Deputado	Administrador de Empresas	GUILHERME MUSSI FERREIRA
HEITOR SCHUCH	PSB	RS	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	277	Brasília - DF - CEP 70160-900	3215-5277	3215-2277	03	25	dep.heitorschuch@camara.leg.br	HEITOR SCHUCH	Exmo. Senhor Deputado	Agricultor Familiar	HEITOR JOSE SCHUCH
HELDER SALOMÃO	PT	ES	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	573	Brasília - DF - CEP 70160-900	3215-5573	3215-2573	03	08	dep.heldersalomao@camara.leg.br	HELDER SALOMAO	Exmo. Senhor Deputado	Professor(a)	HELDER IGNACIO SALOMAO
HÉLIO LEITE	DEM	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	403	Brasília - DF - CEP 70160-900	3215-5403	3215-2403	12	09	dep.helioleite@camara.leg.br	HELIO LEITE	Exmo. Senhor Deputado	Corretor de Imóveis	HELIO LEITE DA SILVA
HENRIQUE FONTANA	PT	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	256	Brasília - DF - CEP 70160-900	3215-5256	3215-2256	01	18	dep.henriquefontana@camara.leg.br	HENRIQUE FONTANA	Exmo. Senhor Deputado	Médico e Administrador de Empresas	HENRIQUE FONTANA JÚNIOR
HERÁCLITO FORTES	PSB	PI	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	708	Brasília - DF - CEP 70160-900	3215-5708	3215-2708	08	01	dep.heraclitofortes@camara.leg.br	HERACLITO FORTES	Exmo. Senhor Deputado	Servidor Público	HERÁCLITO DE SOUSA FORTES
HERCULANO PASSOS	PSD	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	926	Brasília - DF - CEP 70160-900	3215-5926	3215-2926	08	04	dep.herculanopassos@camara.leg.br	HERCULANO PASSOS	Exmo. Senhor Deputado	Empresário	HERCULANO CASTILHO PASSOS JUNIOR
HERMES PARCIANELLO	PMDB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	234	Brasília - DF - CEP 70160-900	3215-5234	3215-2234	04	25	dep.hermesparcianello@camara.leg.br	HERMES PARCIANELLO	Exmo. Senhor Deputado	Contador	HERMES PARCIANELLO
HEULER CRUVINEL	PSD	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	536	Brasília - DF - CEP 70160-900	3215-5536	3215-2536	02	06	dep.heulercruvinel@camara.leg.br	HEULER CRUVINEL	Exmo. Senhor Deputado		HEULER ABREU CRUVINEL
HILDO ROCHA	PMDB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	734	Brasília - DF - CEP 70160-900	3215-5734	3215-2734	04	22	dep.hildorocha@camara.leg.br	HILDO ROCHA	Exmo. Senhor Deputado		HILDO AUGUSTO DA ROCHA NETO
HIRAN GONÇALVES	PMB	RR	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	274	Brasília - DF - CEP 70160-900	3215-5274	3215-2274	06	19	dep.hirangoncalves@camara.leg.br	HIRAN GONCALVES	Exmo. Senhor Deputado	Médico Legista,médico(a)	HIRAN MANUEL GONCALVES DA SILVA
HISSA ABRAHÃO	PPS	AM	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	272	Brasília - DF - CEP 70160-900	3215-5272	3215-2272	08	02	dep.hissaabrahao@camara.leg.br	HISSA ABRAHAO	Exmo. Senhor Deputado	Comerciante	HISSA NAGIB ABRAHAO FILHO
HUGO LEAL	PROS	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	631	Brasília - DF - CEP 70160-900	3215-5631	3215-2631	08	06	dep.hugoleal@camara.leg.br	HUGO LEAL	Exmo. Senhor Deputado	Advogado	HUGO LEAL MELO DA SILVA
HUGO MOTTA	PMDB	PB	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	237	Brasília - DF - CEP 70160-900	3215-5237	3215-2237	09	11	dep.hugomotta@camara.leg.br	HUGO MOTTA	Exmo. Senhor Deputado	Estudante Universitário	HUGO MOTTA WANDERLEY DA NÓBREGA
INDIO DA COSTA	PSD	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	509	Brasília - DF - CEP 70160-900	3215-5509	3215-2509	10	20	dep.indiodacosta@camara.leg.br	INDIO DA COSTA	Exmo. Senhor Deputado	Advogado	ANTONIO PEDRO DE SIQUEIRA INDIO DA COSTA
IRACEMA PORTELLA	PP	PI	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	924	Brasília - DF - CEP 70160-900	3215-5924	3215-2924	04	23	dep.iracemaportella@camara.leg.br	IRACEMA PORTELLA	Exma. Senhora Deputada	Empresária, Professor	IRACEMA MARIA PORTELLA NUNES NOGUEIRA LIMA
IRAJÁ ABREU	PSD	TO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	802	Brasília - DF - CEP 70160-900	3215-5802	3215-2802	02	03	dep.irajaabreu@camara.leg.br	IRAJA ABREU	Exmo. Senhor Deputado	Empresário, Produtor Rural	IRAJÁ SILVESTRE FILHO
IRMÃO LAZARO	PSC	BA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	467	Brasília - DF - CEP 70160-900	3215-5467	3215-2467	11	04	dep.irmaolazaro@camara.leg.br	IRMAO LAZARO	Exmo. Senhor Deputado	Cantor,compositor,músico	ANTONIO LAZARO SILVA
IVAN VALENTE	PSOL	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	716	Brasília - DF - CEP 70160-900	3215-5716	3215-2716	07	05	dep.ivanvalente@camara.leg.br	IVAN VALENTE	Exmo. Senhor Deputado	Matemático e Engenheiro.	IVAN VALENTE
IZALCI	PSDB	DF	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	602	Brasília - DF - CEP 70160-900	3215-5602	3215-2602	04	07	dep.izalci@camara.leg.br	IZALCI	Exmo. Senhor Deputado	Contador, Professor	IZALCI LUCAS FERREIRA
JAIME MARTINS	PSD	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	904	Brasília - DF - CEP 70160-900	3215-5904	3215-2904	06	17	dep.jaimemartins@camara.leg.br	JAIME MARTINS	Exmo. Senhor Deputado	Empresário, Engenheiro e Advogado	JAIME MARTINS FILHO
JAIR BOLSONARO	PP	RJ	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	482	Brasília - DF - CEP 70160-900	3215-5482	3215-2482	03	21	dep.jairbolsonaro@camara.leg.br	JAIR BOLSONARO	Exmo. Senhor Deputado	Militar	JAIR MESSIAS BOLSONARO
JANDIRA FEGHALI	PCdoB	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	622	Brasília - DF - CEP 70160-900	3215-5622	3215-2622	05	17	dep.jandirafeghali@camara.leg.br	JANDIRA FEGHALI	Exma. Senhora Deputada	Médico, Músico	JANDIRA FEGHALI
JANETE CAPIBERIBE	PSB	AP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	209	Brasília - DF - CEP 70160-900	3215-5209	3215-2209	05	12	dep.janetecapiberibe@camara.leg.br	JANETE CAPIBERIBE	Exma. Senhora Deputada		JANETE MARIA GÓES CAPIBERIBE
JARBAS VASCONCELOS	PMDB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	304	Brasília - DF - CEP 70160-900	3215-5304	3215-2304	08	23	dep.jarbasvasconcelos@camara.leg.br	JARBAS VASCONCELOS	Exmo. Senhor Deputado	Advogado(a),funcionário Público	Jarbas de Andrade Vasconcelos
JEAN WYLLYS	PSOL	RJ	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	646	Brasília - DF - CEP 70160-900	3215-5646	3215-2646	03	10	dep.jeanwyllys@camara.leg.br	JEAN WYLLYS	Exmo. Senhor Deputado	Comunicador, Escritor, Jornalista, Professor Universitário	JEAN WYLLYS DE MATOS SANTOS
JEFFERSON CAMPOS	PSD	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	346	Brasília - DF - CEP 70160-900	3215-5346	3215-2346	10	26	dep.jeffersoncampos@camara.leg.br	JEFFERSON CAMPOS	Exmo. Senhor Deputado	Ministro do Evangelho, Advogado, Tecnologo, Radialista, Bacharel Em Teologia	JEFFERSON ALVES DE CAMPOS
JERÔNIMO GOERGEN	PP	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	316	Brasília - DF - CEP 70160-900	3215-5316	3215-2316	01	20	dep.jeronimogoergen@camara.leg.br	JERONIMO GOERGEN	Exmo. Senhor Deputado	Advogado	JERÔNIMO PIZZOLOTTO GOERGEN
JÉSSICA SALES	PMDB	AC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	952	Brasília - DF - CEP 70160-900	3215-5952	3215-2952	11	28	dep.jessicasales@camara.leg.br	JESSICA SALES	Exma. Senhora Deputada		JESSICA ROJAS SALES
JHC	PSB	AL	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	958	Brasília - DF - CEP 70160-900	3215-5958	3215-2958	07	22	dep.jhc@camara.leg.br	JHC	Exmo. Senhor Deputado		JOAO HENRIQUE HOLANDA  CALDAS
JHONATAN DE JESUS	PRB	RR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	535	Brasília - DF - CEP 70160-900	3215-5535	3215-2535	09	03	dep.jhonatandejesus@camara.leg.br	JHONATAN DE JESUS	Exmo. Senhor Deputado	Empresário	JOHNATHAN PEREIRA DE JESUS
JÔ MORAES	PCdoB	MG	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	322	Brasília - DF - CEP 70160-900	3215-5322	3215-2322	08	09	dep.jomoraes@camara.leg.br	JO MORAES	Exma. Senhora Deputada	Funcionária Pública	MARIA DO SOCORRO JÔ MORAES
JOÃO ARRUDA	PMDB	PR	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	633	Brasília - DF - CEP 70160-900	3215-5633	3215-2633	05	22	dep.joaoarruda@camara.leg.br	JOAO ARRUDA	Exmo. Senhor Deputado	Bacharel Em Ciências Físicas e Naturais	JOÃO JOSÉ DE ARRUDA JÚNIOR
JOÃO CAMPOS	PSDB	GO	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	315	Brasília - DF - CEP 70160-900	3215-5315	3215-2315	12	28	dep.joaocampos@camara.leg.br	JOAO CAMPOS	Exmo. Senhor Deputado	Delegado de Polícia	JOÃO CAMPOS DE ARAÚJO
JOÃO CARLOS BACELAR	PR	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	928	Brasília - DF - CEP 70160-900	3215-5928	3215-2928	10	08	dep.joaocarlosbacelar@camara.leg.br	JOAO CARLOS BACELAR	Exmo. Senhor Deputado	Engenheiro Civil	JOÃO CARLOS PAOLILO BACELAR FILHO
JOÃO CASTELO	PSDB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	324	Brasília - DF - CEP 70160-900	3215-5324	3215-2324	10	19	dep.joaocastelo@camara.leg.br	JOAO CASTELO	Exmo. Senhor Deputado	Empresário e Advogado	JOÃO CASTELO RIBEIRO GONÇALVES
JOÃO DANIEL	PT	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	605	Brasília - DF - CEP 70160-900	3215-5605	3215-2605	08	22	dep.joaodaniel@camara.leg.br	JOAO DANIEL	Exmo. Senhor Deputado	Agricultor	JOAO SOMARIVA DANIEL
JOÃO DERLY	REDE	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	901	Brasília - DF - CEP 70160-900	3215-5901	3215-2901	06	02	dep.joaoderly@camara.leg.br	JOAO DERLY	Exmo. Senhor Deputado		JOAO DERLY DE OLIVEIRA NUNES JUNIOR
JOÃO FERNANDO COUTINHO	PSB	PE	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	567	Brasília - DF - CEP 70160-900	32155567	32152567	08	22	dep.joaofernandocoutinho@camara.leg.br	JOAO FERNANDO COUTINHO	Exmo. Senhor Deputado		JOAO FERNANDO PONTUAL COUTINHO
JOÃO GUALBERTO	PSDB	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	358	Brasília - DF - CEP 70160-900	3215-5358	3215-2358	07	06	dep.joaogualberto@camara.leg.br	JOAO GUALBERTO	Exmo. Senhor Deputado		JOAO GUALBERTO VASCONCELOS
JOÃO MARCELO SOUZA	PMDB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	639	Brasília - DF - CEP 70160-900	3215-5639	3215-2639	11	11	dep.joaomarcelosouza@camara.leg.br	JOAO MARCELO SOUZA	Exmo. Senhor Deputado	Psicólogo	JOÃO MARCELO SANTOS SOUZA
JOÃO PAULO PAPA	PSDB	SP	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	476	Brasília - DF - CEP 70160-900	3215-5476	3215-2476	07	28	dep.joaopaulopapa@camara.leg.br	JOAO PAULO PAPA	Exmo. Senhor Deputado	Engenheiro,professor(a)	JOAO PAULO TAVARES PAPA
JOÃO RODRIGUES	PSD	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	503	Brasília - DF - CEP 70160-900	3215-5503	3215-2503	03	23	dep.joaorodrigues@camara.leg.br	JOAO RODRIGUES	Exmo. Senhor Deputado	Empresário, Radialista	JOÃO RODRIGUES
JOAQUIM PASSARINHO	PSD	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	339	Brasília - DF - CEP 70160-900	3215-5339	3215-2339	12	02	dep.joaquimpassarinho@camara.leg.br	JOAQUIM PASSARINHO	Exmo. Senhor Deputado	Arquiteto	JOAQUIM PASSARINHO PINTO DE SOUZA PORTO
JONY MARCOS	PRB	SE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	807	Brasília - DF - CEP 70160-900	3215-5807	3215-2807	09	30	dep.jonymarcos@camara.leg.br	JONY MARCOS	Exmo. Senhor Deputado	Radialista	JONY MARCOS DE SOUZA ARAUJO
JORGE BOEIRA	PP	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	342	Brasília - DF - CEP 70160-900	3215-5342	3215-2342	11	05	dep.jorgeboeira@camara.leg.br	JORGE BOEIRA	Exmo. Senhor Deputado	Engenheiro Mecânico.	JORGE CATARINO LEONARDELI BOEIRA
JORGE CÔRTE REAL	PTB	PE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	621	Brasília - DF - CEP 70160-900	3215-5621	3215-2621	05	09	dep.jorgecortereal@camara.leg.br	JORGE CORTE REAL	Exmo. Senhor Deputado	Engenheiro Civil	JORGE WICKS CÔRTE REAL
JORGE SOLLA	PT	BA	T	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	571	Brasília - DF - CEP 70160-900	3215-5571	3215-2571	04	11	dep.jorgesolla@camara.leg.br	JORGE SOLLA	Exmo. Senhor Deputado	Médico(a)	JORGE JOSE SANTOS PEREIRA SOLLA
JORGE TADEU MUDALEN	DEM	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	538	Brasília - DF - CEP 70160-900	3215-5538	3215-2538	01	03	dep.jorgetadeumudalen@camara.leg.br	JORGE TADEU MUDALEN	Exmo. Senhor Deputado	Engenheiro Civil	JORGE TADEU MUDALEN
JORGINHO MELLO	PR	SC	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	329	Brasília - DF - CEP 70160-900	3215-5329	3215-2329	07	15	dep.jorginhomello@camara.leg.br	JORGINHO MELLO	Exmo. Senhor Deputado	Advogado, Bancário	JORGINHO DOS SANTOS MELLO
JOSÉ AIRTON CIRILO	PT	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	319	Brasília - DF - CEP 70160-900	3215-5319	3215-2319	02	21	dep.joseairtoncirilo@camara.leg.br	JOSE AIRTON CIRILO	Exmo. Senhor Deputado	Advogado e Engenheiro Civil	JOSÉ AIRTON FÉLIX CIRILO DA SILVA
JOSÉ AUGUSTO CURVO	PDT	MT	S	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	658	Brasília - DF - CEP 70160-900	3215-5658	3215-2658	08	27	dep.joseaugustocurvo@camara.leg.br	JOSE AUGUSTO CURVO	Exmo. Senhor Deputado		JOSÉ AUGUSTO DA SILVA CURVO
JOSÉ CARLOS ALELUIA	DEM	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	854	Brasília - DF - CEP 70160-900	3215-5854	3215-2854	12	09	dep.josecarlosaleluia@camara.leg.br	JOSE CARLOS ALELUIA	Exmo. Senhor Deputado	Professor Universitário e Engenheiro Elétrico	JOSÉ CARLOS ALELUIA COSTA
JOSÉ CARLOS ARAÚJO	PSD	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	232	Brasília - DF - CEP 70160-900	3215-5232	3215-2232	12	21	dep.josecarlosaraujo@camara.leg.br	JOSE CARLOS ARAUJO	Exmo. Senhor Deputado	Administrador.	JOSÉ CARLOS LEÃO DE ARAÚJO
JOSÉ FOGAÇA	PMDB	RS	S	Câmara dos Deputados, Edifício Anexo	3	, gabinete nº	376	Brasília - DF - CEP 70160-900	3215-5376	3215-2376	01	13	dep.josefogaca@camara.leg.br	JOSE FOGACA	Exmo. Senhor Deputado		JOSÉ ALBERTO FOGAÇA DE MEDEIROS
JOSÉ GUIMARÃES	PT	CE	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	306	Brasília - DF - CEP 70160-900	3215-5306	3215-2306	02	13	dep.joseguimaraes@camara.leg.br	JOSE GUIMARAES	Exmo. Senhor Deputado	Advogado	JOSÉ NOBRE GUIMARÃES
JOSÉ MENTOR	PT	SP	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	502	Brasília - DF - CEP 70160-900	3215-5502	3215-2502	09	30	dep.josementor@camara.leg.br	JOSE MENTOR	Exmo. Senhor Deputado	Advogado	JOSÉ MENTOR GUILHERME DE MELLO NETTO
JOSÉ NUNES	PSD	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	728	Brasília - DF - CEP 70160-900	3215-5728	3215-2728	12	18	dep.josenunes@camara.leg.br	JOSE NUNES	Exmo. Senhor Deputado	Empresário	JOSÉ NUNES SOARES
JOSÉ OTÁVIO GERMANO	PP	RS	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	424	Brasília - DF - CEP 70160-900	3215-5424	3215-2424	04	21	dep.joseotaviogermano@camara.leg.br	JOSE OTAVIO GERMANO	Exmo. Senhor Deputado	Advogado	JOSÉ OTÁVIO GERMANO
JOSÉ PRIANTE	PMDB	PA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	752	Brasília - DF - CEP 70160-900	3215-5752	3215-2752	12	02	dep.josepriante@camara.leg.br	JOSE PRIANTE	Exmo. Senhor Deputado	Advogado	JOSÉ BENITO PRIANTE JÚNIOR
JOSÉ REINALDO	PSB	MA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	529	Brasília - DF - CEP 70160-900	3215-5529	3215-2529	03	19	dep.josereinaldo@camara.leg.br	JOSE REINALDO	Exmo. Senhor Deputado	Administrador Público,engenheiro	José Reinaldo Carneiro Tavares
JOSÉ ROCHA	PR	BA	T	Câmara dos Deputados, Edifício Anexo	4	, gabinete nº	908	Brasília - DF - CEP 70160-900	3215-5908	3215-2908	08	18	dep.joserocha@camara.leg.br	JOSE ROCHA	Exmo. Senhor Deputado	Médico	JOSÉ ALVES ROCHA
